Product ID,Product Name,Category,Unit Price (₹),Stock Level,Warehouse
7217e8f7-5fde-40e1-8f82-9aa65b52dc7f,Recognize,Its,78.04,762,Hanna LLC
fe4dfe6d-2423-4e3e-8b08-c10aad304969,Consider,Staff,589.1,558,Lowe Ltd
4791c5d5-ff89-470d-8d23-7cb7620dd9ed,Memory,Growth,585.01,74,Farley LLC
ed4a5a87-75fa-4c49-bd62-f16bbf3240eb,Build,Animal,1061.6,319,Fischer-Simon
0a4529b8-b4df-4ced-907f-ac5144815f7f,Commercial,Prevent,1340.41,663,Hanna LLC
e534753d-1aac-4c02-98b4-5975a3e55b85,Resource,Off,854.73,396,Fischer-Simon
f8555c1e-db90-48f9-8f1b-e2948341f331,News,Whom,209.87,636,Morton-Allen
192e3d9c-e7bd-45cb-889a-1d76b1c4beec,Strategy,Edge,1018.64,481,Hanna LLC
c3955bcc-304a-49d3-af64-4f8b02c8aca4,Performance,Cut,351.69,256,Hanna LLC
70cd4903-ac07-42bb-b71f-3ce979ecd9d4,Professor,Office,483.72,275,Morton-Allen
1ddb3e5e-440d-4976-8337-e27fbd5a6b0f,Worker,Rise,283.36,608,Hanna LLC
f89d7ad3-3edc-46a7-8c4d-550b625bdb3b,Stuff,Game,1167.78,846,Hanna LLC
b98b9a67-77b8-4030-9b7a-c9aa7e952435,Room,Certain,609.99,576,Lowe Ltd
abd1bf0f-d533-4e82-bc79-243018f06600,Front,Affect,1067.2,630,Hanna LLC
7517d5a3-f84a-48c9-b420-b7c507340959,Wall,Book,768.78,67,Lowe Ltd
24eadc7b-55dc-4e28-af21-470bba2dbde9,Image,Usually,148.49,621,Lowe Ltd
b45dd990-4227-4455-bf13-877eb5874812,Color,Site,1114.77,668,Lowe Ltd
7d6d3777-3890-4771-a63b-15a77ce675dd,Price,Store,157.16,333,Fischer-Simon
667be757-415a-4bcc-8755-0e1f52f57621,Require,Clearly,910.59,56,Farley LLC
cff4e76d-0658-4170-aafd-5594667fed98,Board,Sort,1156.56,50,Hanna LLC
e82e9448-f0c6-40f1-9391-35c1691c91c3,Free,Suddenly,504.93,881,Hanna LLC
a91a2f9a-3d81-45c5-add8-f4cd49980b26,Policy,Stand,1477.69,868,Fischer-Simon
849f3796-26f6-4034-b1ea-4dbf47eaff08,Relationship,Raise,1271.81,242,Lowe Ltd
ba2612f8-1260-4f38-b045-fd659a92ab63,Avoid,Level,745.15,38,Hanna LLC
6a25e55f-6652-4275-b8de-61d8812f1869,Green,Network,1313.16,960,Lowe Ltd
6b523b62-e9d9-464c-b13b-bf8e348b8b38,Around,Road,499.67,411,Fischer-Simon
501c98d2-b809-4c15-a0bf-b451d88e5e4b,Old,Effort,368.53,504,Hanna LLC
988e531e-3d4b-4274-a360-5281a382819a,Stand,Discussion,1039.93,904,Hanna LLC
35b5dbd4-41c6-411f-99b8-1b0a52e72458,Officer,Dark,253.8,820,Morton-Allen
d2532dc2-bceb-4ef4-a558-2c52ead93c36,Her,Speak,281.7,160,Hanna LLC
028bf811-69a5-4b68-b614-9d6c85118961,Late,Attack,1456.0,408,Morton-Allen
c955958a-1487-480d-b76d-a402b9c13f89,Pass,Serve,1058.28,408,Fischer-Simon
13037410-6b18-465d-b31e-e3419d039f65,Always,Simple,1479.05,26,Fischer-Simon
948de42e-d928-458e-a32c-8ca75340388e,Growth,Model,124.37,207,Hanna LLC
5bf303bb-ba3a-4c21-8381-fab1dc99fefa,Rock,Return,842.75,43,Morton-Allen
6bde4e33-0108-4074-b36f-bd3aef1d9f2d,Office,Discover,527.66,570,Fischer-Simon
4afd154a-8019-46ee-98ed-587a39d90ccf,Country,Thought,802.2,897,Farley LLC
3243de59-4c1e-40c5-8c9b-6391fada8146,Camera,Respond,882.38,13,Lowe Ltd
f968d31a-18c8-4dc3-8153-38a0fc6469e6,Last,Mother,1297.13,15,Fischer-Simon
cb171d6f-0146-4706-a9ca-c170397b7248,Wrong,Interview,1371.4,20,Lowe Ltd
8a6d1183-8c79-40ee-b816-79dc92432e0d,Begin,News,375.27,259,Hanna LLC
03f12358-59d4-40e7-939a-10316505f707,Open,Guess,543.08,690,Hanna LLC
dc79ff03-3b82-41d7-bff2-c4659eb9d2bb,Involve,Other,903.63,283,Lowe Ltd
a6b0ee30-3c9a-4c27-98cc-2d4b45f503e8,Eye,Serious,1395.18,194,Hanna LLC
708bacf9-65f6-430d-b428-9491cae0dcff,Somebody,Purpose,1021.57,2,Morton-Allen
08f72448-3479-4d9c-849a-7826ab37b970,Option,Pretty,299.37,341,Morton-Allen
3020c2cc-fd38-4d93-b91b-a2ad0c2d7f81,Ready,What,1117.25,125,Hanna LLC
e8f1db3a-ff5b-4114-998f-7f6a75fb1056,Enjoy,Garden,734.47,337,Lowe Ltd
f2801423-d0a6-4648-a97c-d825e39aa653,Character,Medical,941.38,629,Morton-Allen
13478243-2ba2-4861-9feb-60ba03de6256,Able,Place,292.05,133,Hanna LLC
